Proteins, Eliot EXO, Clov EXO, Tato EXO, Samo EXO, Flash EXO, Gus 2 EXO,Fritz 2 EXO,Tessa 2 EXO,Fritz 1 EXO,Tessa 1 EXO,Gus 1 EXO
DNA-directed RNA polymerase subunit OS=Leishmania infantum OX=5671 GN=RPOIILS PE=3 SV=1,9,12,19,9,26,0,13,0,33,0,0
Dnaj chaperone-like protein OS=Leishmania infantum OX=5671 GN=LINF_330016300 PE=4 SV=1,13,0,0,0,20,15,8,0,2,0,8
DnaJ_domain/C2H2_type_zinc-finger_(2_copies )/Zinc-finger_of_C2H2_type/Zinc-finger_double-stranded_RNA-binding_-_putative OS=Leishmania infantum OX=5671 GN=LINF_250029000 PE=4 SV=1,0,0,2,2,0,0,0,0,0,0,0
DnaJ_domain/Domain_of_uncharacterized_function_(D UF3395)_-_putative OS=Leishmania infantum OX=5671 GN=LINF_260014300 PE=4 SV=1,0,0,0,0,0,0,0,0,0,0,0
DnaJ_domain_containing_protein_-_putative OS=Leishmania infantum OX=5671 GN=LINF_180008300 PE=4 SV=2,0,0,0,0,0,0,0,0,0,0,0
DnaJ_domain_containing_protein_-_putative OS=Leishmania infantum OX=5671 GN=LINF_260017000 PE=4 SV=1,0,0,0,0,0,0,0,0,0,0,0
DnaJ_domain_containing_protein_-_putative OS=Leishmania infantum OX=5671 GN=LINF_260019100 PE=4 SV=1,0,0,0,0,0,0,0,0,0,0,0
DnaJ_domain_containing_protein_-_putative OS=Leishmania infantum OX=5671 GN=LINF_260031000 PE=4 SV=1,0,0,0,0,0,0,0,0,0,0,0
DnaJ_domain_containing_protein_-_putative OS=Leishmania infantum OX=5671 GN=LINF_310010500 PE=4 SV=1,0,0,0,0,0,0,0,0,0,0,0
DNAJ_domain_protein_-_putative OS=Leishmania infantum OX=5671 GN=LINF_240010000 PE=4 SV=1,0,0,0,0,4,5,0,0,0,0,2
DnaJ_protein_-_putative OS=Leishmania infantum OX=5671 GN=LINF_210010300 PE=3 SV=1,8,2,12,5,5,5,7,0,3,6,0
DNAj-like protein OS=Leishmania infantum OX=5671 GN=LINF_250017100 PE=4 SV=1,0,0,0,0,0,0,0,0,0,0,0
DNL_zinc_finger_containing_protein_-_putative OS=Leishmania infantum OX=5671 GN=LINF_250013800 PE=4 SV=1,0,0,0,0,0,0,0,0,0,0,0
Dolichol-phosphate mannosyltransferase subunit 1 OS=Leishmania infantum OX=5671 GN=DPMS PE=3 SV=1,0,0,0,0,0,0,0,0,0,0,0
Dolicholphosphate-mannose_synthase_-_putative OS=Leishmania infantum OX=5671 GN=LINF_360008300 PE=4 SV=1,0,0,0,0,0,0,0,0,0,0,0
Dolichyl_pyrophosphate_phosphatase_-_putative OS=Leishmania infantum OX=5671 GN=LINF_300009100 PE=4 SV=1,0,0,0,0,0,0,0,0,0,0,0
Dolichyl-diphosphooligosaccharide--protein glycotransferase OS=Leishmania infantum OX=5671 GN=LINF_350016000 PE=3 SV=1,5,0,0,0,10,7,0,0,0,0,0
Dolichyl-diphosphooligosaccharide--protein glycotransferase OS=Leishmania infantum OX=5671 GN=LINF_350016300 PE=3 SV=1,0,0,0,0,5,0,0,0,0,0,0
Dolichyl-diphosphooligosaccharide--protein glycotransferase OS=Leishmania infantum OX=5671 GN=LINF_350016400 PE=3 SV=1,0,0,0,0,8,7,7,0,0,0,6
Dolichyl-diphosphooligosaccharide--protein glycotransferase OS=Leishmania infantum OX=5671 GN=LINJ_35_1150 PE=3 SV=1,0,0,0,0,0,0,0,0,0,0,0
Dolichyl-P-Man:GDP-Man1GlcNAc2-PP-dolichyl_alpha-1_-3-mannosyltransferase_-_putative OS=Leishmania infantum OX=5671 GN=LINF_340029600 PE=4 SV=1,0,0,0,0,0,0,0,0,0,0,0
Domain_of_uncharacterized_function_(DUF1767)_-_pu tative OS=Leishmania infantum OX=5671 GN=LINF_230005900 PE=4 SV=1,0,0,0,0,0,0,0,0,0,0,0
Domain_of_uncharacterized_function_(DUF1935)_-_pu tative OS=Leishmania infantum OX=5671 GN=LINF_200017400 PE=4 SV=1,0,0,0,0,0,4,0,3,0,0,3
Domain_of_uncharacterized_function_(DUF1935)_-_pu tative OS=Leishmania infantum OX=5671 GN=LINF_200017900 PE=4 SV=1,17,15,6,0,24,36,16,31,17,22,24
Domain_of_uncharacterized_function_(DUF1935)_-_pu tative OS=Leishmania infantum OX=5671 GN=LINF_250024200 PE=4 SV=1,13,5,0,0,9,17,0,11,0,6,18
Domain_of_uncharacterized_function_(DUF1935)_-_pu tative OS=Leishmania infantum OX=5671 GN=LINF_340007000 PE=4 SV=1,0,0,0,0,0,4,0,3,0,0,4
Domain_of_uncharacterized_function_(DUF202)_-_put ative OS=Leishmania infantum OX=5671 GN=LINF_140016500 PE=4 SV=1,0,0,4,0,3,5,5,0,0,5,2
Domain_of_uncharacterized_function_(DUF3819)/CCR4 -Not_complex_component_-_Not1_-_putative OS=Leishmania infantum OX=5671 GN=LINF_210013800 PE=4 SV=1,2,5,13,19,12,0,7,0,30,3,0
Domain_of_uncharacterized_function_(DUF3846 )/TPR_repeat_-_putative OS=Leishmania infantum OX=5671 GN=LINF_360044000 PE=4 SV=1,4,0,0,0,0,3,0,0,0,0,0
Domain_of_uncharacterized_function_(DUF4042 )/HEAT-like_repeat_-_putative OS=Leishmania infantum OX=5671 GN=LINF_210015700 PE=4 SV=1,0,0,0,0,0,0,0,0,0,0,0
Domain_of_uncharacterized_function_(DUF4139)_-_pu tative OS=Leishmania infantum OX=5671 GN=LINF_290028700 PE=4 SV=1,13,2,0,0,11,11,6,5,4,12,17
Domain_of_uncharacterized_function_(DUF4139)_-_pu tative OS=Leishmania infantum OX=5671 GN=LINF_300014900 PE=4 SV=1,13,6,0,0,10,12,6,5,5,8,9
Domain_of_uncharacterized_function_(DUF4499)_-_pu tative OS=Leishmania infantum OX=5671 GN=LINF_210016000 PE=4 SV=1,0,0,0,0,0,0,0,0,0,0,0
Domain_of_uncharacterized_function_(DUF543)_-_put ative OS=Leishmania infantum OX=5671 GN=LINF_270022100 PE=3 SV=1,0,0,0,0,0,0,0,0,0,0,0
Double_RNA_binding_domain_protein_7 OS=Leishmania infantum OX=5671 GN=LINF_340051800 PE=4 SV=1,0,0,0,0,0,0,0,0,0,0,0
D-Tyr-tRNA(Tyr)_deacylase_-_putative OS=Leishmania infantum OX=5671 GN=LINF_340040600 PE=4 SV=1,0,0,0,0,0,3,0,0,0,0,0
Dual_specificity_protein_phosphatase_-_putative OS=Leishmania infantum OX=5671 GN=LINF_270029300 PE=4 SV=1,0,0,0,0,0,0,0,0,0,0,0
D-xylulose_reductase_-_putative OS=Leishmania infantum OX=5671 GN=LINF_330011700 PE=3 SV=1,0,0,0,0,0,0,0,0,0,0,0
Dymeclin OS=Leishmania infantum OX=5671 GN=LINF_010008900 PE=3 SV=1,0,0,0,0,0,0,0,0,0,0,0
Dynamin_family/50S_ribosome-binding_GTPase_-_putative OS=Leishmania infantum OX=5671 GN=LINF_340028100 PE=4 SV=1,3,0,0,0,3,11,10,5,2,4,13
Dynamin-1-like_protein OS=Leishmania infantum OX=5671 GN=LINF_290029700 PE=3 SV=1,16,29,29,32,23,10,38,0,73,18,5
Dynein intermediate-chain-like protein OS=Leishmania infantum OX=5671 GN=LINF_240007500 PE=4 SV=1,3,0,3,2,0,0,0,0,0,0,0
Dynein light chain OS=Leishmania infantum OX=5671 GN=LINF_320007400 PE=3 SV=1,0,0,5,6,3,3,0,0,0,3,3
Dynein_heavy_chain_-_putative OS=Leishmania infantum OX=5671 GN=LINF_130022000 PE=4 SV=1,5,0,0,0,0,0,0,0,2,0,0
Dynein_heavy_chain_-_putative OS=Leishmania infantum OX=5671 GN=LINF_250015700 PE=4 SV=2,10,0,9,3,9,3,4,0,10,4,0
Dynein_heavy_chain_-_putative OS=Leishmania infantum OX=5671 GN=LINF_270024300 PE=4 SV=1,9,0,6,7,0,8,0,0,0,5,0
Dynein_heavy_chain_-_putative OS=Leishmania infantum OX=5671 GN=LINF_340049400 PE=4 SV=2,7,0,2,6,0,13,0,0,5,2,2
Dynein_heavy_chain_and_region_D6_of_dynein_motor/ Ankyrin_repeats_(3_copies)/Ankyrin_repeat_-_putative OS=Leishmania infantum OX=5671 GN=LINF_350059000 PE=4 SV=1,2,2,2,0,0,2,0,0,0,0,0
Dynein-associated roadblock protein-like protein OS=Leishmania infantum OX=5671 GN=LINJ_35_1740 PE=3 SV=1,3,0,0,0,0,5,0,0,2,2,4
E3 ubiquitin-protein ligase OS=Leishmania infantum OX=5671 GN=LINF_090013600 PE=3 SV=1,0,0,0,0,0,0,0,0,0,0,0
EAP30/Vps36_family_-_putative OS=Leishmania infantum OX=5671 GN=LINF_340021900 PE=3 SV=1,0,0,0,0,0,0,0,0,0,0,0
Ecotin-like protein 1 OS=Leishmania infantum OX=5671 GN=ISP1 PE=3 SV=1,0,0,0,0,0,3,0,4,4,2,0
Ecotin-like protein 3 OS=Leishmania infantum OX=5671 GN=LinJ15.0540 PE=3 SV=1,6,0,0,0,10,12,0,16,18,12,9
EF-hand_domain_containing_protein_-_putative OS=Leishmania infantum OX=5671 GN=LINF_160014800 PE=4 SV=1,0,0,0,0,0,6,0,2,0,0,0
EF-hand_domain_pair/EF-hand_domain_containing_protein_-_putative OS=Leishmania infantum OX=5671 GN=LINF_360044800 PE=4 SV=1,0,0,0,0,0,0,0,0,0,0,0
Ef-hand_protein_5_-__putative OS=Leishmania infantum OX=5671 GN=LINF_090015300 PE=4 SV=1,9,3,3,2,6,11,6,2,9,9,7
Electron transfer flavoprotein subunit alpha OS=Leishmania infantum OX=5671 GN=LINF_280017100 PE=3 SV=1,0,0,0,0,0,0,0,0,0,0,0
Electron transfer flavoprotein subunit beta OS=Leishmania infantum OX=5671 GN=LINF_250006300 PE=3 SV=1,0,0,0,0,0,0,0,0,0,0,0
Electron transfer flavoprotein-ubiquinone oxidoreductase OS=Leishmania infantum OX=5671 GN=LINF_070011500 PE=4 SV=1,3,0,0,0,0,0,0,0,0,0,0
Elongation factor 1-alpha OS=Leishmania infantum OX=5671 GN=LINF_170005900 PE=3 SV=1,134,154,208,403,176,199,195,135,99,191,164
Elongation factor 1-beta OS=Leishmania infantum OX=5671 GN=eEF1B beta 2 PE=3 SV=1,27,14,12,9,18,26,14,4,23,12,19
Elongation factor 2 OS=Leishmania infantum OX=5671 GN=EF2-1 PE=3 SV=1,174,107,120,125,135,246,212,61,179,177,175
Elongation factor 2-like protein OS=Leishmania infantum OX=5671 GN=LINF_250027700 PE=3 SV=1,0,0,0,0,0,0,0,0,0,0,0
"Elongation factor G, mitochondrial OS=Leishmania infantum OX=5671 GN=MEFG PE=3 SV=1",0,0,0,0,0,0,0,0,0,0,0
"Elongation factor Ts, mitochondrial OS=Leishmania infantum OX=5671 GN=LinJ29.0880 PE=3 SV=1",0,0,0,0,0,0,0,0,0,0,0
Elongation factor-1 gamma OS=Leishmania infantum OX=5671 GN=EF1G PE=4 SV=1,24,16,31,45,13,23,17,0,19,26,10
Elongation of fatty acids protein OS=Leishmania infantum OX=5671 GN=LINF_140012000 PE=3 SV=1,0,0,0,0,0,0,0,0,0,0,0
Elongation of fatty acids protein OS=Leishmania infantum OX=5671 GN=LINF_140012100 PE=3 SV=1,8,3,6,4,7,8,7,0,0,5,9
Elongation of fatty acids protein OS=Leishmania infantum OX=5671 GN=LINF_140012200 PE=3 SV=1,0,0,0,0,2,7,0,0,0,0,4
Elongation of fatty acids protein OS=Leishmania infantum OX=5671 GN=LINF_140012300 PE=3 SV=1,7,0,5,4,9,13,6,0,0,5,7
Elongation of fatty acids protein OS=Leishmania infantum OX=5671 GN=LINF_140012800 PE=3 SV=1,5,0,0,0,5,6,4,0,0,2,4
Elongation_factor_-_putative OS=Leishmania infantum OX=5671 GN=LINF_250006400 PE=4 SV=1,0,0,0,0,0,0,0,0,0,0,0
Elongation_factor_P_(EF-P)_KOW-like_domain_containing_protein_-_putative OS=Leishmania infantum OX=5671 GN=LINF_250023100 PE=4 SV=1,0,0,0,0,0,0,0,0,0,0,0
Elongation_factor_Tu_-_mitochondrial_-_putative OS=Leishmania infantum OX=5671 GN=LINF_180012600 PE=3 SV=1,0,0,0,0,2,0,0,0,0,3,0
Emopamil_binding_protein_-_putative OS=Leishmania infantum OX=5671 GN=LINF_270017300 PE=4 SV=1,0,0,0,0,0,0,0,0,0,0,0
Emp24/gp25L/p24_family/GOLD_-_putative OS=Leishmania infantum OX=5671 GN=LINF_310017400 PE=3 SV=1,0,0,0,0,0,0,0,0,0,0,0
Emp24/gp25L/p24_family/GOLD_-_putative OS=Leishmania infantum OX=5671 GN=LINF_310017500 PE=3 SV=1,0,0,0,0,0,0,0,0,0,0,0
Endoplasmic_reticulum_oxidoreductin_-_putative OS=Leishmania infantum OX=5671 GN=LINF_160021400 PE=3 SV=1,0,0,0,0,0,3,0,0,0,0,0
Endoplasmic_Reticulum-Golgi_Intermediate_Compartment_(ERGIC )/Endoplasmic_reticulum_vesicle_transporter_-_putative OS=Leishmania infantum OX=5671 GN=LINF_310036000 PE=4 SV=1,0,0,0,0,0,4,0,0,0,0,0
Endoplasmic_Reticulum-Golgi_Intermediate_Compartment_(ERGIC )/Endoplasmic_reticulum_vesicle_transporter_-_putative OS=Leishmania infantum OX=5671 GN=LINF_320046300 PE=4 SV=1,0,0,2,0,3,2,0,0,0,0,0
Endoribonuclease_L-PSP_(Pb5)_-_putative OS=Leishmania infantum OX=5671 GN=LINF_230007100 PE=4 SV=1,24,9,4,8,18,15,12,2,14,14,12
Engulfment_and_cell_motility_domain_2_-_putative OS=Leishmania infantum OX=5671 GN=LINF_260023800 PE=4 SV=1,0,0,0,0,0,0,0,0,0,0,0
"Enoyl-CoA hydratase/isomerase family protein,conserved OS=Leishmania infantum OX=5671 GN=LINF_350008700 PE=4 SV=1",0,0,0,0,3,0,0,0,0,0,0
Enoyl-CoA hydratase/isomerase-like protein OS=Leishmania infantum OX=5671 GN=LINF_290030800 PE=3 SV=1,0,0,0,0,0,0,0,0,0,0,0
Enoyl-CoA_hydratase/isomerase_family/2-enoyl-CoA_Hydratase_C-terminal_region_containing_protein_-_putative OS=Leishmania infantum OX=5671 GN=LINF_360041200 PE=4 SV=1,0,0,0,0,0,0,0,0,0,0,0
Enoyl-CoA_reductase_-_putative OS=Leishmania infantum OX=5671 GN=LINF_250024400 PE=3 SV=1,11,6,4,4,7,15,7,0,6,7,10
Enriched_in_surface-labeled_proteome_protein_16 OS=Leishmania infantum OX=5671 GN=LINF_320026100 PE=4 SV=1,3,0,0,0,3,2,0,0,0,0,0
Epsin_-_putative OS=Leishmania infantum OX=5671 GN=LINF_250012000 PE=4 SV=1,4,0,0,0,0,0,0,0,4,0,0
ER membrane protein complex subunit 1 OS=Leishmania infantum OX=5671 GN=LINF_340049100 PE=3 SV=2,7,0,5,0,9,9,8,0,0,4,4
ER membrane protein complex subunit 2 OS=Leishmania infantum OX=5671 GN=LINF_170008100 PE=3 SV=1,2,0,2,2,3,3,0,0,0,3,2
ER membrane protein complex subunit 3 OS=Leishmania infantum OX=5671 GN=LINF_360008800 PE=3 SV=1,5,2,3,0,6,6,3,0,0,0,3
ER membrane protein complex subunit 6 OS=Leishmania infantum OX=5671 GN=LINF_320037200 PE=3 SV=1,0,0,0,0,0,0,0,0,0,0,0
ERF1_domain_1/eRF1_domain_2/eRF1_domain_3_-_putative OS=Leishmania infantum OX=5671 GN=LINF_270024100 PE=3 SV=1,5,4,10,19,4,5,3,0,5,5,2
Ethanolamine-phosphate_cytidylyltransferase OS=Leishmania infantum OX=5671 GN=LINF_320014500 PE=3 SV=1,0,0,0,0,0,0,0,0,0,0,0
Eukaryotic translation initiation factor 2A OS=Leishmania infantum OX=5671 GN=LINF_160012300 PE=3 SV=1,0,0,0,0,0,0,0,0,0,0,0
Eukaryotic translation initiation factor 3 subunit 7-like protein OS=Leishmania infantum OX=5671 GN=LINF_300036000 PE=4 SV=1,30,65,81,71,29,22,35,9,33,49,13
Eukaryotic translation initiation factor 3 subunit E OS=Leishmania infantum OX=5671 GN=LINF_280029900 PE=3 SV=1,28,21,78,53,42,18,48,2,40,23,17
Eukaryotic translation initiation factor 3 subunit I OS=Leishmania infantum OX=5671 GN=LINF_360047700 PE=3 SV=1,13,20,29,23,10,12,19,3,23,19,7
Eukaryotic translation initiation factor 3 subunit L OS=Leishmania infantum OX=5671 GN=LINF_360007700 PE=3 SV=1,58,65,125,88,81,51,91,7,118,60,32
Eukaryotic translation initiation factor 5B OS=Leishmania infantum OX=5671 GN=LINF_330036700 PE=4 SV=1,7,2,2,0,3,2,0,0,0,2,0
Eukaryotic translation initiation factor 6 OS=Leishmania infantum OX=5671 GN=EIF6 PE=3 SV=1,0,0,0,3,2,0,0,0,2,0,0
Eukaryotic_initiation_factor_2a_-_putative OS=Leishmania infantum OX=5671 GN=LINF_030014900 PE=3 SV=1,29,17,33,32,37,27,24,6,15,27,19
Eukaryotic_protein_of_uncharacterized_function_(D UF866)_-_putative OS=Leishmania infantum OX=5671 GN=LINF_120009300 PE=4 SV=1,0,0,0,0,0,0,0,0,0,0,0
Eukaryotic_protein_of_uncharacterized_function_(D UF914)/EamA-like_transporter_family_-_putative OS=Leishmania infantum OX=5671 GN=LINF_290014600 PE=3 SV=1,0,0,0,0,3,3,0,0,0,0,0
Eukaryotic_release_factor_3_-_putative OS=Leishmania infantum OX=5671 GN=LINF_110017700 PE=4 SV=1,2,0,3,3,2,10,3,0,5,8,0
Eukaryotic_translation_initation_factor_4_gamma_-_putative OS=Leishmania infantum OX=5671 GN=LINF_360070500 PE=4 SV=1,5,0,3,0,0,2,2,0,0,0,0
Eukaryotic_translation_initiation_factor_1A_-_putative OS=Leishmania infantum OX=5671 GN=LINF_160006500 PE=3 SV=1,0,0,0,0,0,0,0,0,0,0,0
Eukaryotic_translation_initiation_factor_2_beta_subunit_-_putative OS=Leishmania infantum OX=5671 GN=LINF_080010700 PE=3 SV=1,4,3,5,7,0,0,0,0,2,7,0
Eukaryotic_translation_initiation_factor_3_subunit_8_-_putative OS=Leishmania infantum OX=5671 GN=LINF_360081900 PE=4 SV=1,78,134,148,130,93,70,98,10,130,78,42
Eukaryotic_translation_initiation_factor_4E_-_putative OS=Leishmania infantum OX=5671 GN=LINF_280032200 PE=3 SV=1,0,2,6,4,2,0,4,0,7,0,0
Eukaryotic_translation_initiation_factor_5_-_putative OS=Leishmania infantum OX=5671 GN=LINF_340008600 PE=4 SV=1,0,2,3,3,0,0,0,0,0,0,0
Eukaryotic_translation_initiation_factor_eIF-4E_-_putative OS=Leishmania infantum OX=5671 GN=LINF_270023100 PE=3 SV=1,0,0,0,0,0,0,0,0,0,0,0
"Exosome subunit rrp6p homologue, putative OS=Leishmania infantum OX=5671 GN=LINF_340037400 PE=4 SV=1",0,0,0,0,0,0,0,0,0,0,0
Exosome_complex_exonuclease_-_putative OS=Leishmania infantum OX=5671 GN=LINF_140005000 PE=4 SV=1,0,0,0,0,0,0,0,0,0,0,0
Exosome_complex_exonuclease_RRP40_-_putative OS=Leishmania infantum OX=5671 GN=LINF_040006300 PE=4 SV=1,0,0,0,0,0,0,0,0,0,0,0
Exosome_complex_exonuclease_RRP45_homolog_-_putative OS=Leishmania infantum OX=5671 GN=LINF_220022100 PE=3 SV=1,0,0,0,0,0,0,0,0,0,0,0
FACT complex subunit OS=Leishmania infantum OX=5671 GN=LINF_290005100 PE=3 SV=1,0,0,3,3,0,0,0,0,2,0,0
FAD:protein FMN transferase OS=Leishmania infantum OX=5671 GN=LINF_350013000 PE=4 SV=1,0,0,0,0,0,0,0,0,0,0,0
FAD:protein FMN transferase OS=Leishmania infantum OX=5671 GN=LINF_350016600 PE=4 SV=1,30,8,25,26,43,26,28,0,18,24,17
FAD_dependent_oxidoreductase_-_putative OS=Leishmania infantum OX=5671 GN=LINF_320014900 PE=3 SV=1,0,0,0,0,0,0,0,0,0,0,0
Farnesyl pyrophosphate synthase OS=Leishmania infantum OX=5671 GN=FPPS PE=3 SV=1,9,2,2,0,6,8,8,0,7,2,9
Fatty acyl-CoA reductase OS=Leishmania infantum OX=5671 GN=LINF_240021900 PE=3 SV=1,2,0,0,0,0,5,3,0,0,0,0
Ferroxidase OS=Leishmania infantum OX=5671 GN=LINF_250016600 PE=3 SV=1,0,0,0,0,0,0,0,0,0,0,0
Fibrillarin OS=Leishmania infantum OX=5671 GN=LINF_360038800 PE=3 SV=1,10,12,29,16,13,5,14,4,14,18,0
Fibrillarin_-_putative OS=Leishmania infantum OX=5671 GN=LINF_190005800 PE=3 SV=1,3,10,11,10,6,3,4,3,0,10,0
Fip1_motif/Zinc_finger_C-x8-C-x5-C-x3-H_type_(And _similar)_-_putative OS=Leishmania infantum OX=5671 GN=LINF_050006800 PE=3 SV=1,0,0,0,0,0,0,0,0,0,0,0
Flagellar_Member_5 OS=Leishmania infantum OX=5671 GN=LINF_350029300 PE=4 SV=2,0,0,0,0,0,0,0,0,0,0,0
Flagellum_targeting_protein_kharon1_-_putative OS=Leishmania infantum OX=5671 GN=LINF_360068400 PE=4 SV=1,0,5,14,5,3,0,0,0,0,6,0
Flavoprotein subunit-like protein OS=Leishmania infantum OX=5671 GN=LINJ_07_0910 PE=4 SV=1,0,0,0,0,0,0,0,0,4,2,0
Formyltetrahydrofolate synthetase OS=Leishmania infantum OX=5671 GN=FTHS PE=3 SV=1,0,0,0,0,0,0,0,0,0,0,0
Fructose-bisphosphatase OS=Leishmania infantum OX=5671 GN=LINF_040016700 PE=3 SV=1,0,0,0,0,0,0,0,0,0,0,0
Fructose-bisphosphate aldolase OS=Leishmania infantum OX=5671 GN=ALD PE=3 SV=1,15,0,20,16,19,18,7,7,15,22,16
Fumarate hydratase OS=Leishmania infantum OX=5671 GN=fh PE=3 SV=1,21,2,0,2,15,31,5,4,21,6,19
Fumarate hydratase OS=Leishmania infantum OX=5671 GN=LINF_240007900 PE=3 SV=1,0,0,0,0,0,0,0,0,0,0,0
Fumarylacetoacetate_(FAA)_hydrolase_family_-_putative OS=Leishmania infantum OX=5671 GN=LINF_350029700 PE=3 SV=1,0,0,0,0,0,0,0,0,0,0,0
G5-interacting_protein_-_putative OS=Leishmania infantum OX=5671 GN=LINF_320019400 PE=4 SV=1,0,0,2,2,0,0,0,0,0,0,0
GAF_domain/TIP41-like_family_-_putative OS=Leishmania infantum OX=5671 GN=LINF_230025300 PE=3 SV=1,4,0,0,0,0,0,0,0,3,0,0
Galactokinase-like protein OS=Leishmania infantum OX=5671 GN=LINF_350032700 PE=3 SV=1,2,0,0,0,12,9,12,0,4,0,8
Galactose_oxidase_-_central_domain/Kelch_motif/Do main_of_uncharacterized_function_(DUF4110)_-_putative OS=Leishmania infantum OX=5671 GN=LINF_160005800 PE=4 SV=1,3,3,3,3,4,0,2,0,15,2,0
Gamma-ECS OS=Leishmania infantum OX=5671 GN=GSH1 PE=3 SV=1,2,0,5,7,8,4,0,0,3,5,2
Gamma-soluble_NSF_attachment_protein_(SNAP-gamma)_(N-ethylmaleimide-sensitive_factor_attachment_protein_-_gamma)_-_putative OS=Leishmania infantum OX=5671 GN=LINF_340011000 PE=3 SV=1,5,0,0,0,4,6,0,0,0,2,2
"GDP-Man:Man(3)GlcNAc(2)-PP-Dol alpha-1,2-mannosyltransferase OS=Leishmania infantum OX=5671 GN=LINF_350058100 PE=3 SV=1",0,0,0,0,0,0,0,0,0,0,0
GDP-mannose pyrophosphorylase OS=Leishmania infantum OX=5671 GN=GDPMP PE=4 SV=1,17,6,0,4,5,11,0,0,8,12,15
Gim5A_protein_-_putative OS=Leishmania infantum OX=5671 GN=LINF_350042400 PE=4 SV=1,18,5,16,9,35,39,35,4,5,23,32
Glucokinase OS=Leishmania infantum OX=5671 GN=LINF_360030300 PE=4 SV=1,0,0,0,0,0,0,0,0,0,0,0
Glucosamine 6-phosphate N-acetyltransferase OS=Leishmania infantum OX=5671 GN=LINF_280039500 PE=3 SV=1,0,0,0,0,0,0,0,0,0,0,0
Glucosamine-6-phosphate isomerase OS=Leishmania infantum OX=5671 GN=LINF_320040100 PE=3 SV=1,3,0,0,0,0,5,3,0,0,3,0
"Glucose transporter, lmgt1 OS=Leishmania infantum OX=5671 GN=LINF_360073600 PE=4 SV=2",27,21,17,19,43,49,52,19,36,36,37
"Glucose transporter, lmgt2 OS=Leishmania infantum OX=5671 GN=LINF_360072900 PE=3 SV=1",29,17,15,21,60,57,81,21,38,46,42
Glucose-6-phosphate 1-dehydrogenase OS=Leishmania infantum OX=5671 GN=g6pdh PE=3 SV=1,13,0,0,0,10,29,0,0,4,0,14
Glucose-6-phosphate 1-epimerase OS=Leishmania infantum OX=5671 GN=LINF_340040800 PE=3 SV=1,5,0,0,0,0,5,0,0,0,0,3
Glucose-6-phosphate isomerase OS=Leishmania infantum OX=5671 GN=PGI PE=3 SV=1,27,0,10,4,37,41,11,0,26,31,21
Glucosidase_II_beta_subunit-like_protein_-_putative OS=Leishmania infantum OX=5671 GN=LINF_260014900 PE=4 SV=1,0,0,0,0,0,0,0,0,0,0,0
Glutamate dehydrogenase OS=Leishmania infantum OX=5671 GN=LINF_280037300 PE=3 SV=1,6,0,0,0,8,6,4,0,5,0,4
Glutamate_5-kinase_-_putative OS=Leishmania infantum OX=5671 GN=LINF_260033000 PE=3 SV=1,0,0,0,0,0,0,0,0,0,0,0
Glutamate-5-semialdehyde dehydrogenase OS=Leishmania infantum OX=5671 GN=LINF_320038900 PE=3 SV=1,0,0,0,0,2,0,0,0,0,0,0
Glutamine amidotransferase OS=Leishmania infantum OX=5671 GN=LINF_220006100 PE=4 SV=1,10,0,0,5,4,6,3,0,3,0,5
Glutamine--fructose-6-phosphate transaminase (isomerizing) OS=Leishmania infantum OX=5671 GN=LINF_060015200 PE=4 SV=1,0,0,0,0,0,0,0,0,0,0,0
Glutamine--tRNA ligase OS=Leishmania infantum OX=5671 GN=LINF_150022500 PE=3 SV=1,13,8,26,21,19,7,22,0,54,4,0
Glutaminyl_cyclase_-_putative OS=Leishmania infantum OX=5671 GN=LINF_050014700 PE=4 SV=1,0,0,0,0,0,2,0,0,0,0,0
Glutamyl-tRNA synthetase OS=Leishmania infantum OX=5671 GN=LINF_300038100 PE=3 SV=1,4,3,9,13,22,11,35,0,28,3,7
Glutaredoxin/Glutathione_S-transferase_-_N-terminal_domain_containing_protein_-_putative OS=Leishmania infantum OX=5671 GN=LINF_260020400 PE=4 SV=1,0,0,0,0,0,0,0,0,0,0,0
Glutathione peroxidase OS=Leishmania infantum OX=5671 GN=LINF_260013100 PE=3 SV=1,21,9,5,4,28,28,12,6,14,15,24
Glutathione synthetase OS=Leishmania infantum OX=5671 GN=LINF_140015200 PE=3 SV=1,3,0,0,0,3,8,0,0,3,0,2
Glutathione-S-transferase/glutaredoxin_-_putative OS=Leishmania infantum OX=5671 GN=LINF_140021300 PE=4 SV=1,0,0,0,0,0,0,0,0,0,0,0
Glyceraldehyde-3-phosphate dehydrogenase OS=Leishmania infantum OX=5671 GN=LINF_300035000 PE=3 SV=1,59,21,46,14,82,99,65,38,34,66,77
Glyceraldehyde-3-phosphate dehydrogenase OS=Leishmania infantum OX=5671 GN=LINF_360030600 PE=3 SV=1,19,4,0,0,13,12,4,6,5,5,7
Glyceraldehyde-3-phosphate dehydrogenase-like protein OS=Leishmania infantum OX=5671 GN=LINF_350053100 PE=3 SV=1,0,0,0,0,0,0,0,0,0,0,2
Glycerol kinase OS=Leishmania infantum OX=5671 GN=LINF_350036100 PE=3 SV=1,0,0,0,0,0,0,0,0,0,0,0
Glycerol-3-phosphate acyl transferase OS=Leishmania infantum OX=5671 GN=GAT PE=4 SV=1,0,0,0,0,0,0,0,0,0,0,0
